Shawarma Guys,San Diego,CA,32.727562,-117.130173,1,3012 Grape Street,92102,theshawarmaguys.com
Pisces Poke & Ramen,Los Angeles,CA,34.096394,-118.158968,2,5587 Huntington Dr N,90032,piscespoke.com
Farmbird,Washington,DC,38.900633,-76.997538,3,625 H St NE,20002,farmbird.com
Burgerama,Valley Village ,CA,34.169624,-118.396377,4,5424 Laurel Canyon Blvd,91607,burgerama5425.wixsite.com
Cocina Madrigal ,Phoenix ,AZ,33.409407,-112.047079,5,4044 S 16th St,85040,cocinamadrigal.com
Fratellino,Coral Gables ,FL,25.749396,-80.260086,6,264 Miracle Mile,33134,https://m.facebook.com/FratellinoRistorante1/
Yardie Spice,Homestead,FL,25.469116,-80.477392,7,225 S Krome Ave,33030,N/A
Sweet Rice ,Gardena,CA,33.889333,-118.305185,8,1630 W Redondo Beach Blvd #4,90247,N/A
Soichi Sushi ,San Diego,CA,32.763458,-117.142298,9,2121 Adams Ave,92116,soichisushi.com
Pikul Thai Bistro,Fairfield,CA,38.264497,-122.050344,10,1305 Gateway Blvd e5,94533,pikulthai.com
Kahuku Farms,Kahuhu,HI,21.684061,-157.960712,11,56-800 Kamehameha Hwy,96731,kahukufarms.com
Shish Ke Baba,San Francisco,CA,37.742825,-122.423275,12,59 30th St,94110,N/A
The Fuel Shack,San Clemente,CA,33.456673,-117.658364,13,360 Camino De Estrella,92672,thefuelshack.com
PorkChop & Bubba's BBQ,Bakersfield,CA,35.369918,-119.020543,14,1230 H St suite a,93301,porkchopandbubbasbbq.com
Roundhouse Deli ,Roseville,CA,38.749123,-121.291155,15,604 Church St,95678,theroundhousedeli.com
Tommy Tamale Market & Cafe,Grapevine,TX,32.941445,-97.093931,16,1689 W Northwest Hwy,76051,tommytamale.com
SP Brazilian Steakhouse,Lakeway,TX,30.357005,-97.96143,17,900 Ranch Rd 620 S #B108,78734,spbrazilian.com
Kra Z Kai's Laotian Barbeque,Corona,CA,33.86487,-117.542015,18,1218 Magnolia Ave STE 110,92881,laobbq.com
Karved,Las Vegas,NV,36.118029,-115.138223,19,3957 Maryland Pkwy,89119,karvedlv.com
Southern Charm Cafe,Canaveral,FL,28.393582,-80.610077,20,8501 Astronaut Blvd,32920,southerncharmcafefl.com
Gino's Deli Stop N Buy,San Antonio,TX,29.5656,-98.557849,21,13210 Huebner Rd,78230,myginosdeli.com
Craft Pita,Houston,TX,29.748313,-95.486612,22,1920 Fountain View Dr,77057,craftpita.com
Taneda Sushi in Kaiseki,Seattle,WA,47.621243,-122.32147,23,219 Broadway E #14,98102,tanedaseattle.com
